datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty
1192,2013,49444,27091.0,15234.0,10450.0,8941.0,2108.0,6806.0,2035.0,4334.0,Muskegon,38700.37292719258,664.4514481213272,103591.6430929313,38.573696061422616,56.232697205714075,7.781181942342476,15.997932892842643,7.511719759329667,25.12273448746816
1193,2014,49444,27796.0,15945.0,10156.0,9524.0,2099.0,6692.0,2290.0,3989.0,Muskegon,43384.15075865098,649.9835681941066,102066.72664909436,36.53763131385811,57.364368973953084,7.551446251259174,14.350985753345805,8.238595481364225,24.075406533314144
1194,2015,49444,29205.0,16730.0,10697.0,9663.0,1915.0,6678.0,2229.0,3990.0,Muskegon,43857.22851103508,641.4995464460355,102588.50462203134,36.62728984762883,57.284711521999654,6.557096387604862,13.662044170518747,7.632254750898819,22.865947611710325
1195,2016,49444,29178.0,16743.0,10577.0,10297.0,1784.0,6699.0,2536.0,3714.0,Muskegon,45018.407463115655,639.8555375468216,104865.2130979513,36.24991431900747,57.38227431626568,6.114195626842141,12.72876825005141,8.691479882102954,22.95907875796833
1196,2017,49444,29550.0,17073.0,10395.0,10900.0,1624.0,6405.0,2707.0,3157.0,Muskegon,47200.71655515665,637.6963364882506,100067.35884464752,35.17766497461929,57.7766497461929,5.495769881556684,10.683587140439933,9.160744500846024,21.6751269035533
1197,2018,49444,29801.0,17762.0,10268.0,10988.0,1395.0,6326.0,2852.0,2920.0,Muskegon,48047.16870497437,652.8279816970455,102777.93689542705,34.455219623502565,59.602026777624914,4.681050971443911,9.798328915137077,9.570148652729774,21.227475588067517
1198,2019,49444,29684.0,17627.0,10296.0,11432.0,1319.0,6105.0,2682.0,2814.0,Muskegon,48666.36456658726,659.0870032895638,104166.73433545728,34.685352378385666,59.382158738714466,4.443471230292413,9.479854467052958,9.03517046220186,20.566635224363296
1199,2020,49444,30003.0,17451.0,10582.0,11425.0,1345.0,5782.0,2414.0,2863.0,Muskegon,50236.01910274293,689.9064259247097,117260.54611280048,35.26980635269806,58.164183581641836,4.48288504482885,9.54237909542379,8.04586208045862,19.27140619271406
1200,2011,49445,20855.0,19493.0,630.0,9144.0,1288.0,2417.0,2182.0,115.0,Muskegon,71417.13461871886,745.0290967773486,170137.55373679087,3.020858307360345,93.46919204027812,6.175976983936706,0.5514265164229202,10.462718772476624,11.589546871253896
1201,2012,49445,20539.0,19249.0,610.0,9060.0,1321.0,2303.0,2034.0,131.0,Muskegon,72733.57801162051,720.6337534953003,165228.18105002743,2.9699595890744437,93.71926578703929,6.4316665855202295,0.6378109937192658,9.90311115438921,11.212814645308924
1202,2013,49445,20655.0,19608.0,372.0,9156.0,1285.0,2463.0,2234.0,67.0,Muskegon,71488.69753645523,744.2379409075495,160357.77074739116,1.8010167029774875,94.93100944081337,6.221253933672235,0.3243766642459453,10.815783103364803,11.924473493100944
1203,2014,49445,20457.0,19258.0,534.0,9057.0,1200.0,2683.0,2388.0,114.0,Muskegon,70455.64459989186,750.3770698161666,155223.7986618005,2.610353424255756,94.13892555115608,5.86596275113653,0.5572664613579704,11.673265874761697,13.11531505108276
1204,2015,49445,20014.0,18735.0,577.0,8845.0,944.0,1950.0,1787.0,69.0,Muskegon,70978.90372420545,748.201875814815,157739.46763312336,2.8829819126611373,93.60947336864194,4.7166983111821725,0.3447586689317478,8.928749875087439,9.74317977415809
1205,2016,49445,20047.0,18918.0,375.0,9259.0,692.0,1811.0,1688.0,25.0,Muskegon,71602.88158262051,759.1936735178557,161487.34995229304,1.870604080411034,94.36823464857585,3.4518880630518285,0.12470693869406893,8.420212500623535,9.033770638998353
1206,2017,49445,20463.0,19258.0,398.0,9616.0,546.0,1794.0,1725.0,23.0,Muskegon,70733.327366188,820.4280352480417,159734.85231723238,1.9449738552509408,94.11132287543371,2.66823046474124,0.112397986609979,8.429848995748424,8.767042955578361
1207,2018,49445,21111.0,19742.0,418.0,9964.0,451.0,1573.0,1481.0,30.0,Muskegon,76517.99200340892,843.3372626012018,166604.61317287054,1.9800104211074796,93.5152290275212,2.136327033300175,0.14210601108426885,7.01530008052674,7.45109184785183
1208,2019,49445,21670.0,20372.0,322.0,10269.0,394.0,1459.0,1352.0,19.0,Muskegon,77946.27489174949,877.1935522985875,172459.1127956598,1.4859252422704199,94.01015228426395,1.8181818181818181,0.08767881864328564,6.23904014766959,6.732810336871251
1209,2020,49445,21476.0,20089.0,305.0,10464.0,495.0,1473.0,1376.0,17.0,Muskegon,80808.52775191162,894.759187206108,179069.5689132224,1.4201899795120134,93.54162786366176,2.3048984913391695,0.07915813000558762,6.407152169864035,6.85881914695474
1210,2011,49448,3247.0,3204.0,0.0,1550.0,107.0,329.0,293.0,0.0,Muskegon,66444.40404731949,620.4060478618647,207389.0085756583,0.0,98.67570064675085,3.295349553433939,0.0,9.023714197720974,10.132429935324916
1211,2012,49448,3256.0,3133.0,0.0,1520.0,133.0,409.0,314.0,0.0,Muskegon,63669.25289859491,656.931322247097,199468.2378459368,0.0,96.22235872235872,4.084766584766585,0.0,9.643734643734645,12.56142506142506
1212,2013,49448,3393.0,3270.0,0.0,1398.0,184.0,528.0,440.0,0.0,Muskegon,60047.83766102757,659.2195469550174,195019.11597419268,0.0,96.37488947833775,5.422929560860595,0.0,12.967875036840553,15.561450044208666
1213,2014,49448,3429.0,3288.0,11.0,1428.0,186.0,560.0,490.0,0.0,Muskegon,60735.49428899703,750.3770698161666,190618.94346444987,0.3207932341790609,95.88801399825022,5.42432195975503,0.0,14.289880431612714,16.331291921843103
1214,2015,49448,3911.0,3754.0,41.0,1654.0,185.0,567.0,535.0,32.0,Muskegon,58654.14189699473,773.9132804819907,202734.42580068097,1.048325236512401,95.98568141140373,4.730248018409614,0.8182050626438252,13.67936589107645,14.497570953720276
1215,2016,49448,3795.0,3629.0,50.0,1640.0,185.0,435.0,409.0,26.0,Muskegon,59889.9704925273,685.5595045144516,210238.2480510985,1.3175230566534915,95.6258234519104,4.874835309617918,0.6851119894598156,10.77733860342556,11.462450592885375
1216,2017,49448,3811.0,3622.0,52.0,1728.0,108.0,531.0,508.0,23.0,Muskegon,75506.72684399478,717.2529944516971,218159.2730091384,1.3644712673838888,95.04067173970087,2.8339018630280766,0.6035161374967201,13.32983468905799,13.93335082655471
1217,2018,49448,3999.0,3792.0,54.0,1907.0,61.0,382.0,355.0,27.0,Muskegon,76667.24449736565,685.5907242729195,233950.2506899449,1.350337584396099,94.82370592648162,1.525381345336334,0.6751687921980495,8.877219304826205,9.552388097024256
1218,2019,49448,4100.0,3968.0,41.0,1910.0,53.0,331.0,303.0,28.0,Muskegon,78887.82775359172,660.2788423551868,230501.67529150384,1.0,96.78048780487805,1.2926829268292683,0.6829268292682927,7.390243902439024,8.073170731707318
