datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty,Lat,Lon
71,2012,48069,2541.0,2320.0,35.0,1493.0,82.0,99.0,83.0,0.0,Oakland,133660.972098574,1830.1177644015088,327271.2405376447,1.3774104683195594,91.3026367571822,3.2270759543486816,0.0,3.2664305391578123,3.896103896103896,42.471545013,-83.143618091
72,2013,48069,2539.0,2293.0,39.0,1504.0,90.0,96.0,88.0,0.0,Oakland,127749.94672836618,1739.6071377979629,313783.272449422,1.5360378101614809,90.3111461205199,3.5447026388341865,0.0,3.465931469082316,3.781016148089799,42.471545013,-83.143618091
73,2014,48069,2544.0,2234.0,44.0,1516.0,72.0,87.0,78.0,0.0,Oakland,129408.51068701,1758.173374560692,300794.3760137875,1.729559748427673,87.81446540880503,2.8301886792452837,0.0,3.0660377358490565,3.4198113207547167,42.471545013,-83.143618091
74,2015,48069,2555.0,2323.0,34.0,1559.0,65.0,91.0,81.0,0.0,Oakland,135547.95426488394,1780.5147732019225,317921.5187096284,1.3307240704500978,90.91976516634053,2.5440313111545985,0.0,3.1702544031311155,3.5616438356164384,42.471545013,-83.143618091
75,2016,48069,2562.0,2311.0,58.0,1472.0,80.0,64.0,64.0,0.0,Oakland,136675.17410742186,1688.5076685263346,340748.46483644226,2.2638563622170182,90.20296643247462,3.12256049960968,0.0,2.498048399687744,2.498048399687744,42.471545013,-83.143618091
76,2017,48069,2365.0,2121.0,56.0,1364.0,51.0,65.0,49.0,0.0,Oakland,127150.18551729764,1444.450571148825,367825.2358028721,2.367864693446089,89.6828752642706,2.156448202959831,0.0,2.071881606765328,2.748414376321353,42.471545013,-83.143618091
77,2018,48069,2389.0,2138.0,49.0,1319.0,40.0,95.0,66.0,0.0,Oakland,141465.8821378934,1201.300561115381,403952.4816114246,2.051067392214316,89.4935119296777,1.6743407283382168,0.0,2.762662201758058,3.976559229803265,42.471545013,-83.143618091
78,2019,48069,2431.0,2198.0,51.0,1307.0,38.0,95.0,64.0,0.0,Oakland,146373.33116636742,1402.7945802383665,412495.5006121483,2.097902097902098,90.41546688605511,1.563142739613328,0.0,2.632661456190868,3.90785684903332,42.471545013,-83.143618091
79,2020,48069,2432.0,2195.0,28.0,1257.0,95.0,86.0,55.0,0.0,Oakland,144992.1943425898,1508.1401563302952,420419.08651487,1.151315789473684,90.25493421052632,3.90625,0.0,2.2615131578947367,3.5361842105263155,42.471545013,-83.143618091
80,2011,48070,6231.0,5956.0,137.0,3362.0,120.0,142.0,142.0,0.0,Oakland,148932.67104414976,1334.2793824103424,383080.4155793348,2.1986839993580487,95.58658321296744,1.9258545979778527,0.0,2.278927940940459,2.278927940940459,42.483322445,-83.169792431
81,2012,48070,6236.0,5948.0,130.0,3338.0,127.0,136.0,131.0,0.0,Oakland,149425.99669852,1320.498314415882,358326.17577114387,2.084669660038486,95.38165490699168,2.0365618986529825,0.0,2.1007055805003207,2.1808851828094933,42.483322445,-83.169792431
82,2013,48070,6280.0,5971.0,131.0,3415.0,103.0,112.0,105.0,2.0,Oakland,147629.86318505133,1679.4402743854016,327647.8105401426,2.0859872611464967,95.07961783439492,1.6401273885350318,0.0318471337579617,1.6719745222929936,1.78343949044586,42.483322445,-83.169792431
83,2014,48070,6310.0,5953.0,136.0,3422.0,117.0,114.0,107.0,2.0,Oakland,146407.1898655042,2172.61834279535,342496.2920721817,2.155309033280507,94.34231378763866,1.8541996830427887,0.0316957210776545,1.6957210776545166,1.806656101426308,42.483322445,-83.169792431
84,2015,48070,6333.0,5865.0,178.0,3327.0,122.0,142.0,133.0,2.0,Oakland,147872.71609209466,2365.449229380172,353917.4852436745,2.810674246012948,92.61013737565136,1.9264171798515712,0.0315806095057634,2.1001105321332703,2.2422232749092057,42.483322445,-83.169792431
85,2016,48070,6330.0,5871.0,116.0,3210.0,136.0,91.0,83.0,1.0,Oakland,154286.43604561535,2221.720616482019,379342.9258313299,1.8325434439178516,92.74881516587678,2.148499210110584,0.0157977883096366,1.311216429699842,1.4375987361769351,42.483322445,-83.169792431
86,2017,48070,6347.0,5903.0,86.0,3178.0,109.0,90.0,89.0,1.0,Oakland,156469.30012238905,1988.916449086162,399523.5917101827,1.354970852371199,93.004569087758,1.7173467780053568,0.015755475027572,1.4022372774539151,1.4179927524814877,42.483322445,-83.169792431
87,2018,48070,6340.0,5927.0,96.0,3124.0,126.0,138.0,138.0,0.0,Oakland,158252.5406858431,1845.634498440904,424095.50112103607,1.5141955835962144,93.48580441640378,1.9873817034700316,0.0,2.176656151419558,2.176656151419558,42.483322445,-83.169792431
88,2019,48070,6322.0,5925.0,103.0,3167.0,120.0,130.0,130.0,0.0,Oakland,162484.61165546026,2035.661124084222,432518.39691461605,1.6292312559316673,93.72034166403036,1.8981335020563117,0.0,2.0563112938943373,2.0563112938943373,42.483322445,-83.169792431
89,2020,48070,6303.0,5869.0,62.0,3500.0,65.0,92.0,92.0,0.0,Oakland,176731.42187928644,2065.0100188940964,438196.5387869913,0.9836585752816118,93.11438997302872,1.0312549579565289,0.0,1.459622402030779,1.459622402030779,42.483322445,-83.169792431
90,2011,48071,29850.0,25822.0,1393.0,14178.0,2427.0,4862.0,4060.0,473.0,Oakland,57291.382943820325,872.3613424083862,154153.2931150223,4.666666666666667,86.50586264656617,8.130653266331658,1.5845896147403684,13.601340033500838,16.288107202680067,42.508349415,-83.113086685
91,2012,48071,29854.0,25028.0,1884.0,13863.0,2362.0,5110.0,4187.0,561.0,Oakland,54510.70127268135,859.9828218507453,128201.14288700923,6.31071213237757,83.83466202183962,7.911837609700542,1.879145173176124,14.024921283580088,17.11663428686273,42.508349415,-83.113086685
