datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
98,2019,48071,30120.0,24335.0,2564.0,16493.0,633.0,4065.0,3429.0,215.0,53439.0,853.0,124000.0,Oakland,63690.68782783182,1016.638722976488,147788.04413726204
99,2020,48071,30000.0,23767.0,2597.0,17053.0,595.0,3309.0,2710.0,194.0,54668.0,880.0,137700.0,Oakland,64361.44111339936,1036.0369536070725,162116.23694510668
100,2011,48072,15037.0,13867.0,552.0,8302.0,597.0,973.0,832.0,59.0,67217.0,837.0,156700.0,Oakland,91052.03781469642,1133.7988254593467,212265.56266365547
101,2012,48072,15034.0,13974.0,409.0,8275.0,663.0,978.0,840.0,53.0,68019.0,867.0,146000.0,Oakland,90270.32648065715,1150.6251644206732,193761.5617132852
102,2013,48072,15089.0,14160.0,248.0,8336.0,651.0,980.0,839.0,35.0,70023.0,879.0,142200.0,Oakland,91588.35384212538,1149.7102812965484,185994.0864623085
103,2014,48072,15135.0,14048.0,430.0,8362.0,662.0,1106.0,990.0,51.0,70625.0,883.0,145200.0,Oakland,90901.16733407679,1136.505922208705,186886.36455798865
104,2015,48072,15178.0,14268.0,382.0,8574.0,557.0,769.0,682.0,22.0,73111.0,900.0,150800.0,Oakland,93989.32533109438,1157.0132100229098,193863.99119050533
105,2016,48072,15239.0,14172.0,363.0,8804.0,404.0,755.0,668.0,22.0,74172.0,900.0,159400.0,Oakland,94165.40660897389,1142.5991741907526,202367.0092955622
106,2017,48072,15269.0,13911.0,647.0,8931.0,281.0,845.0,677.0,109.0,77772.0,920.0,172800.0,Oakland,96676.2562989556,1143.6269582245432,214802.97650130547
107,2018,48072,15360.0,13976.0,622.0,9157.0,191.0,725.0,573.0,97.0,82095.0,964.0,188200.0,Oakland,99616.93895431032,1169.7512534497246,228368.45010294416
108,2019,48072,15372.0,14173.0,486.0,9332.0,156.0,619.0,506.0,98.0,86905.0,965.0,199200.0,Oakland,103576.77399797384,1150.1246983262731,237414.34187211771
109,2020,48072,15352.0,13725.0,528.0,9493.0,206.0,593.0,483.0,107.0,93038.0,993.0,222100.0,Oakland,109535.00692010773,1169.0735169679806,261481.599313785
110,2011,48073,32850.0,30080.0,941.0,18758.0,1293.0,2108.0,1689.0,235.0,59457.0,709.0,165100.0,Oakland,80540.35455834692,960.4102356638911,223644.18886898228
111,2012,48073,33321.0,30510.0,1155.0,18995.0,1353.0,2252.0,1798.0,299.0,58965.0,709.0,158000.0,Oakland,78254.4553864648,940.9379948953369,209687.16952533604
112,2013,48073,33123.0,30252.0,1284.0,18852.0,1341.0,2167.0,1765.0,244.0,58755.0,731.0,152600.0,Oakland,76850.08825663106,956.1299381430908,199597.02949471364
